TrueLabel,CNN_Prob,Severity_Norm,FuzzyRiskScore,RiskCategory
OR_014,0.48475316,0.08014516310025067,49.76544049431236,Safe
OR_014,0.7531538,0.0790164403651435,53.73307170670906,Warning
Ball_014,0.9996611,0.014202584041043872,53.33515786157972,Warning
OR_014,0.8009276,0.05769157943750191,53.60885994269296,Warning
OR_007,0.9997217,0.7706093184788821,85.25679404193671,Critical
Ball_014,0.9679533,0.04073040714267699,53.34771766415603,Warning
Ball_007,0.55903393,0.07971696022888944,54.37110370776137,Warning
Ball_014,0.76937926,0.07169223344524192,53.68906411988993,Warning
Ball_014,0.996624,0.026983457381376138,53.33978492099028,Warning
OR_014,0.6887874,0.07245102382370422,53.92383634989885,Warning
OR_007,0.9993223,0.7939181545295547,85.49585291228587,Critical
IR_021,0.8581016,0.4687978067886133,61.53584969075675,Warning
IR_021,0.83694303,0.49532283943738087,65.135445033343,Warning
Ball_007,0.83038104,0.06990710275580925,53.541016141703864,Warning
Ball_007,0.61424905,0.06878021279372382,54.171970871788936,Warning
OR_007,0.9999895,0.8987119986271718,86.34157406872879,Critical
IR_021,0.82586044,0.3546980301518859,54.06544785553007,Warning
Ball_014,0.5208771,0.12278133732732037,54.51515081907759,Warning
Normal,0.9824578,0.013394393003093,53.336101728996425,Warning
OR_021,0.8617891,0.22584624905886158,53.67645967375277,Warning
IR_021,0.628602,0.5744522880830458,78.46057570060923,Warning
IR_007,0.9990277,0.27127281510183227,53.80256345109099,Warning
Ball_021,0.45205113,0.07092234604243094,38.40006062910256,Safe
IR_021,0.8574249,0.41147094008134316,55.28328331209525,Warning
Normal,0.9972,0.009061046382004268,53.33408223255221,Warning
OR_007,0.9929669,0.621653306909559,83.41523531067625,Critical
OR_021,0.5481405,0.11409517702266023,54.41172508421548,Warning
OR_007,0.9996176,0.9314201141169567,86.5103419336338,Critical
Ball_021,0.839516,0.10281916145731884,53.5214819249091,Warning
OR_007,0.9999368,0.7508555903280587,85.04220964685146,Critical
Ball_021,0.56755036,0.06824759621899405,54.33963848426319,Warning
OR_014,0.7419593,0.09436335664553035,53.764451281843655,Warning
IR_021,0.84489435,0.5181796899891908,68.80915803153758,Warning
Ball_021,0.6846365,0.0758884035552659,53.93694387764478,Warning
Normal,0.99875677,0.012240418793028807,53.33469289230933,Warning
IR_021,0.85222685,0.48813160634004804,64.10623429674096,Warning
Ball_021,0.78192323,0.09022174062221655,53.65629593205423,Warning
Ball_007,0.74662113,0.08058959086318827,53.75128532004316,Warning
OR_014,0.6090979,0.07545710575545435,54.19004120384378,Warning
OR_021,0.8574445,0.2108127622667587,53.63784274251143,Warning
Ball_007,0.6743215,0.07913891603898325,53.969902437604304,Warning
IR_014,0.97438025,0.10441128090113275,53.41931305596757,Warning
IR_021,0.8479354,0.46191193832901356,60.6805682240264,Warning
IR_007,0.99919313,0.2664564441872082,53.78856578632048,Warning
IR_021,0.8854806,0.44499587422537706,58.71660073350898,Warning
Ball_007,0.4793469,0.056992763578964684,47.99647724768084,Safe
Normal,0.99854964,0.011261463561106601,53.334485963945966,Warning
IR_007,0.9982975,0.25881312730348094,53.76664603700048,Warning
IR_007,0.9983511,0.2801695949981477,53.82878710350253,Warning
Ball_014,0.9765851,0.039409840338467374,53.346827856090655,Warning
OR_021,0.51657844,0.4966120175793669,65.32416303052167,Warning
IR_014,0.9956338,0.1186232058904607,53.44211747052781,Warning
OR_014,0.7959928,0.05861490395655571,53.62091326645924,Warning
OR_007,0.9993017,0.7398401107559748,84.91807269225131,Critical
OR_007,0.9999894,0.8979689939165904,86.3371362324398,Critical
Normal,0.99885297,0.011729197005217849,53.33458274295829,Warning
Ball_014,0.99981934,0.012267969773371034,53.33469895798892,Warning
IR_007,0.99889475,0.2892229879397018,53.8559490069626,Warning
IR_014,0.9927376,0.13019948078788404,53.46230801950131,Warning
Ball_007,0.7181538,0.0745260539594847,53.83378147408037,Warning
